Sample_size,beta,gamma,beta_bias,beta_esd,beta_ase,beta_cp,gamma_bias,gamma_esd,gamma_ase,gamma_cp
50,,,,,,,,,,
,0,0,0.0824,0.2471,0.2701,1.0000,-0.0902,0.2643,0.2719,1.0000
,0,0,-0.0543,0.2969,0.2831,1.0000,-0.0290,0.2472,0.2637,1.0000
,0,0,0.0730,0.3298,0.2632,0.9000,0.0892,0.2711,0.3010,1.0000
,0,0,-0.0375,0.3107,0.2589,0.9000,0.0672,0.1962,0.2650,1.0000
,0,0,0.0631,0.2968,0.2720,0.9000,-0.0534,0.2956,0.2761,1.0000
,,,,,,,,,,
,,0.5,-0.0139,0.2802,0.3045,1.0000,-0.0568,0.3324,0.2354,0.8000
,,0.5,0.1865,0.2521,0.3061,1.0000,0.0226,0.2546,0.2526,1.0000
,,0.5,-0.0314,0.3369,0.2978,0.9000,-0.1176,0.1628,0.2190,1.0000
,,0.5,0.0348,0.2762,0.3057,1.0000,-0.0479,0.2953,0.2444,0.9000
,,0.5,0.0346,0.1890,0.3168,1.0000,0.0465,0.1845,0.2483,1.0000
,,,,,,,,,,
,,1,-0.0482,0.3870,0.3630,1.0000,-0.0110,0.2153,0.2004,1.0000
,,1,-0.0319,0.5315,0.3541,0.8000,0.0616,0.2815,0.2157,0.9000
,,1,0.0556,0.3863,0.3512,0.9000,0.0246,0.2897,0.1981,0.8000
,,1,0.0655,0.3481,0.3478,0.9000,0.1167,0.2656,0.2332,0.9000
,,1,-0.1847,0.3670,0.3587,0.9000,-0.0118,0.1465,0.2104,1.0000
,,,,,,,,,,
,0.5,0,-0.1934,0.3456,0.2985,1.0000,-0.2214,0.3696,0.2757,0.9000
,0.5,0,0.0656,0.2659,0.3012,1.0000,0.1542,0.2579,0.2994,1.0000
,0.5,0,0.0121,0.4213,0.2901,0.7000,-0.0404,0.3047,0.3268,1.0000
,0.5,0,-0.0898,0.4184,0.2952,0.8000,-0.0601,0.2722,0.2959,1.0000
,0.5,0,0.0072,0.3514,0.2887,1.0000,0.0271,0.3562,0.3061,0.9000
,,,,,,,,,,
,,0.5,-0.0755,0.2966,0.3260,1.0000,-0.0817,0.2481,0.2347,0.9000
,,0.5,0.0402,0.2191,0.3190,1.0000,-0.0229,0.1938,0.2548,1.0000
,,0.5,-0.0521,0.3230,0.3186,1.0000,-0.1405,0.2232,0.2403,0.9000
,,0.5,0.0949,0.3334,0.3278,1.0000,0.0499,0.2755,0.2729,1.0000
,,0.5,-0.0170,0.3659,0.3218,1.0000,-0.0051,0.2172,0.2437,1.0000
,,,,,,,,,,
,,1,0.1128,0.4753,0.3745,0.9000,0.0873,0.2290,0.2176,0.9000
,,1,-0.0472,0.2177,0.3621,1.0000,0.0146,0.1968,0.2282,1.0000
,,1,0.2148,0.3721,0.3701,1.0000,0.1264,0.3300,0.2254,0.8000
,,1,0.0192,0.2872,0.3654,1.0000,0.0257,0.2333,0.2309,1.0000
,,1,0.0931,0.3651,0.3823,1.0000,-0.0457,0.5531,0.2253,0.8000
,,,,,,,,,,
,1,0,-0.1412,0.3551,0.3316,0.9000,-0.0414,0.3486,0.3207,0.9000
,1,0,-0.0368,0.3311,0.3416,1.0000,-0.2177,0.3946,0.3270,0.9000
,1,0,-0.0667,0.3080,0.3280,0.9000,0.1294,0.4573,0.3346,0.8000
,1,0,0.0084,0.3004,0.3181,1.0000,0.1161,0.2176,0.3321,1.0000
,1,0,-0.2274,0.3405,0.3141,1.0000,-0.0479,0.3991,0.3070,0.8000
,,,,,,,,,,
,,0.5,-0.1167,0.3979,0.3465,1.0000,-0.0304,0.2028,0.2759,1.0000
,,0.5,0.0617,0.1888,0.3708,1.0000,0.0695,0.2950,0.2893,1.0000
,,0.5,-0.0056,0.2501,0.3782,1.0000,0.0695,0.2619,0.2739,0.9000
,,0.5,-0.1712,0.2577,0.3619,1.0000,-0.0667,0.2457,0.2661,1.0000
,,0.5,0.2416,0.3013,0.3716,1.0000,0.0793,0.2255,0.2936,1.0000
,,,,,,,,,,
,,1,-0.1234,0.3721,0.3946,0.9000,-0.0731,0.2738,0.2390,0.9000
,,1,-0.0590,0.4854,0.4159,0.9000,-0.0981,0.2739,0.2481,0.9000
,,1,0.0331,0.3399,0.3950,1.0000,0.0205,0.2926,0.2362,0.9000
,,1,-0.1800,0.4472,0.3951,0.9000,0.0398,0.2793,0.2481,1.0000
,,1,0.1085,0.3997,0.3789,0.9000,-0.0210,0.2615,0.2473,0.9000
,,,,,,,,,,
100,,,,,,,,,,
,0,0,-0.0857,0.2568,0.1875,0.9000,-0.0448,0.0877,0.1784,1.0000
,0,0,0.0322,0.1318,0.1896,1.0000,0.0345,0.1736,0.1873,0.9000
,0,0,0.0018,0.1854,0.1914,1.0000,-0.1267,0.1383,0.1855,1.0000
,0,0,-0.0247,0.2264,0.1918,0.9000,0.1140,0.1124,0.1813,1.0000
,0,0,-0.0469,0.1688,0.1843,1.0000,-0.0250,0.1997,0.1884,1.0000
,,,,,,,,,,
,,0.5,-0.0892,0.2065,0.2020,1.0000,-0.0403,0.1271,0.1563,1.0000
,,0.5,-0.0335,0.1650,0.2192,1.0000,-0.0942,0.1643,0.1560,1.0000
,,0.5,0.0323,0.1685,0.2103,1.0000,0.0307,0.1305,0.1679,1.0000
,,0.5,0.1108,0.2380,0.2117,0.9000,-0.0659,0.2075,0.1656,0.9000
,,0.5,0.0412,0.2453,0.2122,0.9000,-0.0028,0.2001,0.1660,0.9000
,,,,,,,,,,
,,1,0.0927,0.2884,0.2342,1.0000,0.0318,0.1136,0.1457,1.0000
,,1,-0.0092,0.2058,0.2407,1.0000,-0.0424,0.1095,0.1405,1.0000
,,1,0.0373,0.0839,0.2459,1.0000,-0.0293,0.0998,0.1467,1.0000
,,1,0.0412,0.2847,0.2340,0.9000,-0.0859,0.1656,0.1445,0.9000
,,1,-0.1196,0.1787,0.2383,1.0000,-0.0326,0.1211,0.1370,1.0000
,,,,,,,,,,
,0.5,0,-0.0517,0.1967,0.2088,0.9000,0.0270,0.1887,0.1990,1.0000
,0.5,0,-0.0735,0.1958,0.2059,1.0000,0.0066,0.1641,0.1987,1.0000
,0.5,0,-0.0591,0.1179,0.2118,1.0000,-0.0026,0.2504,0.2005,0.9000
,0.5,0,-0.0439,0.2544,0.2011,0.9000,0.0108,0.2667,0.2058,0.9000
,0.5,0,-0.0704,0.2040,0.2040,0.9000,0.1076,0.1655,0.1992,0.9000
,,,,,,,,,,
,,0.5,0.0181,0.2229,0.2250,1.0000,-0.0710,0.1305,0.1841,1.0000
,,0.5,-0.0304,0.1994,0.2228,1.0000,0.0562,0.1983,0.1768,1.0000
,,0.5,-0.0485,0.2206,0.2271,0.9000,0.0160,0.1468,0.1798,1.0000
,,0.5,0.0005,0.1800,0.2279,1.0000,-0.0492,0.1758,0.1762,1.0000
,,0.5,0.1201,0.0766,0.2268,1.0000,0.0839,0.2080,0.1904,1.0000
,,,,,,,,,,
,,1,-0.1097,0.2519,0.2567,1.0000,-0.0733,0.0965,0.1539,1.0000
,,1,0.0538,0.1729,0.2534,1.0000,0.0168,0.1161,0.1566,1.0000
,,1,0.0925,0.1160,0.2534,1.0000,-0.0463,0.1107,0.1540,1.0000
,,1,-0.1065,0.2536,0.2597,0.9000,-0.0777,0.1127,0.1457,1.0000
,,1,0.0705,0.1806,0.2598,1.0000,-0.0302,0.1418,0.1573,1.0000
,,,,,,,,,,
,1,0,0.0527,0.2727,0.2288,0.9000,0.0330,0.2979,0.2342,0.9000
,1,0,0.0191,0.1573,0.2228,1.0000,-0.0494,0.1335,0.2216,1.0000
,1,0,-0.0664,0.2615,0.2194,0.9000,0.0551,0.1789,0.2226,1.0000
,1,0,-0.0818,0.2404,0.2228,1.0000,-0.0630,0.1234,0.2261,1.0000
,1,0,0.0485,0.2421,0.2250,1.0000,-0.0888,0.2655,0.2238,0.9000
,,,,,,,,,,
,,0.5,-0.0485,0.2019,0.2426,1.0000,-0.0381,0.1869,0.1904,1.0000
,,0.5,-0.0606,0.1991,0.2418,1.0000,0.0603,0.1833,0.1919,0.9000
,,0.5,0.1664,0.1660,0.2444,1.0000,0.0650,0.2016,0.2096,1.0000
,,0.5,-0.1125,0.1651,0.2518,1.0000,0.0558,0.1524,0.1853,1.0000
,,0.5,-0.0707,0.1779,0.2443,1.0000,-0.0573,0.1260,0.1851,1.0000
,,,,,,,,,,
,,1,0.1112,0.2117,0.2714,1.0000,-0.0345,0.0979,0.1702,1.0000
,,1,-0.0250,0.2612,0.2727,1.0000,-0.0789,0.1885,0.1621,0.9000
,,1,0.0071,0.2743,0.2745,0.9000,-0.0536,0.1791,0.1678,0.9000
,,1,-0.0132,0.3283,0.2774,0.9000,-0.0844,0.1874,0.1578,1.0000
,,1,0.0541,0.2870,0.2679,1.0000,0.1203,0.1617,0.1741,1.0000
,,,,,,,,,,
