Sample_size,beta,gamma,beta_bias,beta_esd,beta_ase,beta_cp,gamma_bias,gamma_esd,gamma_ase,gamma_cp
50,,,,,,,,,,
,0,0,-0.0818,0.2233,0.2690,1.0000,0.0449,0.2188,0.2441,1.0000
,0,0,0.0952,0.2923,0.2621,0.9000,-0.1641,0.3637,0.2983,0.9000
,0,0,-0.1343,0.1654,0.2702,1.0000,-0.0045,0.1277,0.2367,1.0000
,0,0,-0.0107,0.2804,0.2803,1.0000,0.0269,0.2384,0.2659,1.0000
,0,0,0.0184,0.1325,0.2732,1.0000,-0.0764,0.4703,0.2727,0.8000
,,,,,,,,,,
,,0.5,0.0605,0.2961,0.3108,1.0000,0.0147,0.2019,0.2547,1.0000
,,0.5,-0.0971,0.2072,0.3175,1.0000,0.0502,0.3446,0.2492,0.8000
,,0.5,-0.0777,0.3258,0.3055,0.9000,0.0085,0.2653,0.2215,0.8000
,,0.5,0.0603,0.3539,0.3235,0.9000,-0.1201,0.3010,0.2410,0.8000
,,0.5,0.0889,0.1656,0.2897,1.0000,0.1241,0.2680,0.2458,0.9000
,,,,,,,,,,
,,1,-0.1242,0.5138,0.3487,0.8000,0.0378,0.2565,0.2056,0.9000
,,1,0.1661,0.3812,0.3446,1.0000,0.0625,0.3523,0.2115,0.8000
,,1,0.1358,0.2187,0.3436,1.0000,-0.0404,0.2713,0.2144,0.9000
,,1,0.1587,0.2676,0.3327,1.0000,-0.1319,0.2456,0.2180,0.9000
,,1,0.0079,0.3850,0.3394,0.9000,0.1548,0.1931,0.2134,1.0000
,,,,,,,,,,
,0.5,0,0.0974,0.3120,0.3018,1.0000,0.1469,0.2987,0.2951,0.9000
,0.5,0,0.0559,0.3366,0.2977,1.0000,-0.1429,0.3256,0.3190,0.9000
,0.5,0,0.0376,0.2257,0.2840,1.0000,-0.1112,0.4039,0.3112,0.9000
,0.5,0,0.0742,0.2668,0.2887,1.0000,0.1075,0.2564,0.3045,1.0000
,0.5,0,-0.0007,0.2824,0.2861,1.0000,0.0819,0.4526,0.3131,0.9000
,,,,,,,,,,
,,0.5,-0.1070,0.3796,0.3339,1.0000,-0.0359,0.1963,0.2628,1.0000
,,0.5,-0.0163,0.4003,0.3321,0.9000,-0.1117,0.2533,0.2577,1.0000
,,0.5,0.0883,0.2187,0.3237,1.0000,-0.0899,0.2732,0.2640,0.9000
